,Dry Bulb Temperature,Global Horizontal Radiation,Cooling Demand
2017-06-11 11:00:00,20.0,273.0,2741.1126153426685
2017-06-11 12:00:00,20.0,291.0,3981.6185499412263
2017-06-11 13:00:00,21.0,368.0,4662.343550822613
2017-06-11 14:00:00,21.0,422.0,3142.487900613572
2017-06-11 15:00:00,21.0,500.0,3611.16470322805
2017-06-11 16:00:00,22.0,444.0,3688.053127017973
2017-06-11 17:00:00,21.0,277.0,3182.3599429100395
2017-06-11 18:00:00,21.0,138.0,1815.6075493618782
2017-06-11 19:00:00,21.0,41.0,1878.0233624847217
2017-06-11 20:00:00,21.0,2.0,894.5781530429791
2017-06-11 21:00:00,19.0,0.0,509.5035840092713
2017-06-11 22:00:00,18.3,0.0,537.451313132506
2017-06-11 23:00:00,17.0,0.0,512.1598712417189
2017-06-12 00:00:00,17.0,0.0,101.61120693655985
2017-06-12 01:00:00,16.3,0.0,82.86490155594909
2017-06-12 02:00:00,16.0,0.0,101.1960443991287
2017-06-12 03:00:00,16.0,0.0,69.51783916072334
2017-06-12 04:00:00,14.6,0.0,51.48182270612861
2017-06-12 05:00:00,15.0,64.0,51.48182270612854
2017-06-12 06:00:00,15.0,202.0,34.901837977579746
2017-06-12 07:00:00,16.2,374.0,54.4536161941854
2017-06-12 08:00:00,18.0,523.0,91.57774412236063
2017-06-12 09:00:00,20.0,655.0,933.0734550713624
2017-06-12 10:00:00,21.2,791.0,2886.4108164406307
2017-06-12 11:00:00,23.0,839.0,4065.4091739439455
2017-06-12 12:00:00,23.0,821.0,5766.297795740804
2017-06-12 13:00:00,23.0,798.0,6754.373524308433
2017-06-12 14:00:00,23.0,733.0,6149.44483489205
2017-06-12 15:00:00,23.0,627.0,5672.51030494648
2017-06-12 16:00:00,23.0,478.0,5683.018661558042
2017-06-12 17:00:00,22.0,310.0,4312.322530700182
2017-06-12 18:00:00,22.0,151.0,4451.111720639169
2017-06-12 19:00:00,22.2,39.0,4007.9532557518496
2017-06-12 20:00:00,21.0,2.0,2507.8582074506153
2017-06-12 21:00:00,21.0,0.0,515.4925144565462
2017-06-12 22:00:00,20.0,0.0,799.5146763401362
2017-06-12 23:00:00,20.0,0.0,683.5798778042517
2017-06-13 00:00:00,19.0,0.0,144.34729663110164
2017-06-13 01:00:00,19.0,0.0,97.02630671386531
2017-06-13 02:00:00,18.0,0.0,62.23612987517724
2017-06-13 03:00:00,18.0,0.0,83.81371452746073
2017-06-13 04:00:00,17.0,0.0,90.91597711810645
2017-06-13 05:00:00,17.0,61.0,54.10131112394655
2017-06-13 06:00:00,17.0,164.0,59.41194102621708
2017-06-13 07:00:00,18.0,291.0,19.24354994302845
2017-06-13 08:00:00,20.0,451.0,198.6569318009156
2017-06-13 09:00:00,21.0,624.0,3365.8224602279956
2017-06-13 10:00:00,23.3,749.0,4234.380020799777
2017-06-13 11:00:00,23.0,811.0,4519.992771769141
2017-06-13 12:00:00,21.0,832.0,6002.668062821678
2017-06-13 13:00:00,22.7,833.0,6530.302091896534
2017-06-13 14:00:00,22.0,761.0,5264.342837298386
2017-06-13 15:00:00,21.0,622.0,5221.178771479758
2017-06-13 16:00:00,22.5,464.0,5150.755151080857
2017-06-13 17:00:00,22.0,304.0,4518.4634292695955
2017-06-13 18:00:00,22.0,158.0,4254.16233184973
2017-06-13 19:00:00,22.1,41.0,3986.1623976040637
2017-06-13 20:00:00,21.0,2.0,2158.1796653508163
2017-06-13 21:00:00,20.0,0.0,461.5839501625458
2017-06-13 22:00:00,20.2,0.0,806.4525009363928
2017-06-13 23:00:00,20.0,0.0,610.257567277994
2017-06-14 00:00:00,20.0,0.0,111.01753214975214
2017-06-14 01:00:00,19.0,0.0,88.20947943250476
2017-06-14 02:00:00,18.0,0.0,62.950791831859945
2017-06-14 03:00:00,18.0,0.0,60.666644446819866
2017-06-14 04:00:00,18.0,0.0,92.89978801399307
2017-06-14 05:00:00,17.0,62.0,82.66701554675886
2017-06-14 06:00:00,17.0,183.0,17.869128466533994
2017-06-14 07:00:00,18.4,341.0,13.366489169745039
2017-06-14 08:00:00,20.0,505.0,62.335491257513794
2017-06-14 09:00:00,22.0,632.0,2859.537997110585
2017-06-14 10:00:00,23.0,700.0,3548.3724872467083
2017-06-14 11:00:00,21.0,661.0,4052.658342319193
2017-06-14 12:00:00,21.0,623.0,5414.077973160917
2017-06-14 13:00:00,23.3,621.0,6291.428505654609
2017-06-14 14:00:00,21.0,533.0,5592.843235879032
2017-06-14 15:00:00,22.0,380.0,4058.1108530413894
2017-06-14 16:00:00,21.8,239.0,4145.776280197445
2017-06-14 17:00:00,21.0,144.0,2540.464266309255
2017-06-14 18:00:00,20.0,75.0,1792.4231803233104
2017-06-14 19:00:00,20.1,24.0,2148.7435680374383
2017-06-14 20:00:00,20.0,1.0,933.7440232089965
2017-06-14 21:00:00,19.0,0.0,527.9584642155393
2017-06-14 22:00:00,18.1,0.0,648.4952703672551
2017-06-14 23:00:00,18.0,0.0,723.2407799212945
2017-06-15 00:00:00,17.0,0.0,179.16736373125562
2017-06-15 01:00:00,17.0,0.0,162.6524635967136
2017-06-15 02:00:00,17.0,0.0,168.01366993015884
2017-06-15 03:00:00,17.0,0.0,150.29373853888583
2017-06-15 04:00:00,16.5,0.0,184.75525677773692
2017-06-15 05:00:00,16.0,7.0,151.99420239535868
2017-06-15 06:00:00,16.0,33.0,35.46718190589758
2017-06-15 07:00:00,15.0,97.0,144.01507270573987
2017-06-15 08:00:00,16.0,222.0,151.51846685362437
2017-06-15 09:00:00,16.0,353.0,11.110988894151404
2017-06-15 10:00:00,17.3,494.0,886.5990878419522
2017-06-15 11:00:00,19.0,591.0,931.2010109616147
2017-06-15 12:00:00,19.0,642.0,2400.319817074745
2017-06-15 13:00:00,19.4,717.0,2519.140897837266
2017-06-15 14:00:00,19.0,681.0,1894.7856487437573
2017-06-15 15:00:00,20.0,566.0,2898.511003741011
2017-06-15 16:00:00,20.6,433.0,2649.65559780103
2017-06-15 17:00:00,20.0,290.0,2301.2152660641354
2017-06-15 18:00:00,20.0,151.0,2564.188317097818
2017-06-15 19:00:00,20.5,39.0,1286.530317884497
2017-06-15 20:00:00,19.0,1.0,807.8112960519703
2017-06-15 21:00:00,19.0,0.0,671.8503286865036
2017-06-15 22:00:00,19.0,0.0,535.7984578047831
2017-06-15 23:00:00,19.0,0.0,445.76545476560574
2017-06-16 00:00:00,18.0,0.0,99.99562480037126
2017-06-16 01:00:00,17.4,0.0,37.124757724092916
2017-06-16 02:00:00,17.0,0.0,72.54567272099287
2017-06-16 03:00:00,17.0,0.0,11.307895651764845
2017-06-16 04:00:00,20.6,0.0,11.65743639480785
2017-06-16 05:00:00,17.0,70.0,0.2140187034550281
2017-06-16 06:00:00,16.0,214.0,0.0
2017-06-16 07:00:00,16.3,393.0,0.0
2017-06-16 08:00:00,18.0,572.0,0.0
2017-06-16 09:00:00,20.0,718.0,1340.3928772421866
2017-06-16 10:00:00,21.4,824.0,2242.359717859443
2017-06-16 11:00:00,21.0,897.0,2767.43971626143
2017-06-16 12:00:00,22.0,905.0,3967.1680113517755
2017-06-16 13:00:00,21.0,839.0,4384.435120915386
2017-06-16 14:00:00,21.0,739.0,3353.1962267138415
2017-06-16 15:00:00,21.0,605.0,3381.1804085478125
2017-06-16 16:00:00,21.8,432.0,3139.217433650005
2017-06-16 17:00:00,21.0,270.0,2372.3861175712605
2017-06-16 18:00:00,20.0,140.0,2277.562715207844
2017-06-16 19:00:00,20.4,42.0,1858.820704469426
2017-06-16 20:00:00,19.0,2.0,1072.6773336177262
2017-06-16 21:00:00,19.0,0.0,120.13310909503414
2017-06-16 22:00:00,17.6,0.0,494.7596806609876
2017-06-16 23:00:00,17.0,0.0,483.9139810108488
2017-06-17 00:00:00,17.0,0.0,48.61529672933231
2017-06-17 01:00:00,16.5,0.0,9.421487976242574
2017-06-17 02:00:00,17.0,0.0,26.02549583690408
2017-06-17 03:00:00,16.0,0.0,18.417846376655078
2017-06-17 04:00:00,15.3,0.0,6.435925300852231
2017-06-17 05:00:00,15.0,64.0,22.102191636888502
2017-06-17 06:00:00,15.0,200.0,0.0
2017-06-17 07:00:00,16.0,380.0,0.0
2017-06-17 08:00:00,17.0,557.0,7.508174625675065
2017-06-17 09:00:00,19.0,706.0,866.9140234734552
2017-06-17 10:00:00,21.0,809.0,1503.5618474648945
2017-06-17 11:00:00,19.0,790.0,2271.2061851660637
2017-06-17 12:00:00,20.0,740.0,3560.124072228139
2017-06-17 13:00:00,20.0,752.0,4069.8062527956704
2017-06-17 14:00:00,20.0,722.0,3305.7157858421256
2017-06-17 15:00:00,21.0,605.0,3005.7750955877987
2017-06-17 16:00:00,20.0,417.0,3085.237576149907
2017-06-17 17:00:00,21.0,250.0,2620.1245642107247
2017-06-17 18:00:00,21.0,126.0,2327.936573137506
2017-06-17 19:00:00,20.0,32.0,1916.8024148353884
2017-06-17 20:00:00,19.0,2.0,1267.7111977550862
2017-06-17 21:00:00,19.0,0.0,196.55075216087567
2017-06-17 22:00:00,19.1,0.0,585.4616379636053
2017-06-17 23:00:00,19.0,0.0,510.60767165661923
2017-06-18 00:00:00,19.0,0.0,67.46598807097364
2017-06-18 01:00:00,18.3,0.0,0.0
2017-06-18 02:00:00,18.0,0.0,4.27578342223619
2017-06-18 03:00:00,17.0,0.0,39.47277756918195
2017-06-18 04:00:00,16.7,0.0,0.0
